YEAR,BRONX TOTAL,BRONX WHITE,BRONX BLACK,BRONX ASIAN,BRONX NATIVE,BRONX PAC ISLANDER,BRONX OTHER,BRONX TOTAL OTHER,BRONX MULTI,BRONX HISPANIC,BROOKLYN TOTAL,BROOKLYN WHITE,BROOKLYN BLACK,BROOKLYN ASIAN,BROOKLYN NATIVE,BROOKLYN PAC ISLANDER,BROOKLYN OTHER,BROOKLYN TOTAL OTHER,BROOKLYN MULTI,BROOKLYN HISPANIC,MANHATTAN TOTAL,MANHATTAN WHITE,MANHATTAN BLACK,MANHATTAN ASIAN,MANHATTAN NATIVE,MANHATTAN PAC ISLANDER,MANHATTAN OTHER,MANHATTAN TOTAL OTHER,MANHATTAN MULTI,MANHATTAN HISPANIC,QUEENS TOTAL,QUEENS WHITE,QUEENS BLACK,QUEENS ASIAN,QUEENS NATIVE,QUEENS PAC ISLANDER,QUEENS OTHER,QUEENS TOTAL OTHER,QUEENS MULTI,QUEENS HISPANIC,STATEN ISLAND TOTAL,STATEN ISLAND WHITE,STATEN ISLAND BLACK,STATEN ISLAND ASIAN,STATEN ISLAND NATIVE,STATEN ISLAND PAC ISLANDER,STATEN ISLAND OTHER,STATEN ISLAND TOTAL OTHER,STATEN ISLAND MULTI,STATEN ISLAND HISPANIC
2010,1385108,151209,416695,47335,3460,398,8636,12494,15962,741413,2504700,893306,799066,260129,4638,633,10633,15904,40010,496285,1585873,761493,205340,177624,2144,533,5205,7882,29957,403577,2230722,616727,395881,508334,6490,1094,32339,39923,56107,613750,468730,300169,44313,34697,695,137,1028,1860,6640,81051
2020,1472654,130796,419393,67766,,,,19866,28370,806463,2736074,968427,729696,370776,,,,37579,113170,516426,1694251,793294,199592,219624,,,,16112,62989,402640,2405464,549358,381375,656583,,,,66175,84112,667861,495747,277981,46835,58753,,,,3900,11318,96960
